set_name,set_code,release_year,release_month,set_size
15th Anniversary Cards,P15A,2008,04,2
2016 Heroes of the Realm,PHTR,2017,09,3
2017 Gift Pack,G17,2017,10,5
2017 Heroes of the Realm,PH17,2018,08,3
2018 Heroes of the Realm,PH18,2019,08,4
2019 Heroes of the Realm,PH19,2020,08,9
2020 Heroes of the Realm,PH20,2021,08,3
2021 Heroes of the Realm,PH21,2022,08,4
2022 Heroes of the Realm,PH22,2023,08,5
30th Anniversary Celebration Tokyo,P30T,2023,09,2
30th Anniversary Edition,30A,2022,11,594
30th Anniversary History Promos,P30H,2022,09,10
30th Anniversary Misc Promos,P30M,2022,09,5
30th Anniversary Play Promos,P30A,2022,09,30
Adventures in the Forgotten Realms,AFR,2021,07,281
Adventures in the Forgotten Realms Art Series,AAFR,2021,07,0
Adventures in the Forgotten Realms Minigames,MAFR,2021,07,5
Adventures in the Forgotten Realms Promos,PAFR,2021,07,240
Aether Revolt,AER,2017,01,184
Aether Revolt Promos,PAER,2017,01,65
Alara Reborn,ARB,2009,04,145
Alara Reborn Promos,PARB,2009,04,2
Alchemy Horizons: Baldur's Gate,HBG,2022,07,456
Alchemy: Dominaria,YDMU,2022,10,39
Alchemy: Innistrad,YMID,2021,12,64
Alchemy: Ixalan,YLCI,2023,12,30
Alchemy: Kamigawa,YNEO,2022,03,30
Alchemy: Murders at Karlov Manor,YMKM,2024,03,30
Alchemy: New Capenna,YSNC,2022,06,30
Alchemy: Phyrexia,YONE,2023,02,30
Alchemy: The Brothers' War,YBRO,2022,12,31
Alchemy: Wilds of Eldraine,YWOE,2023,10,34
Alliances,ALL,1996,06,199
Amonkhet,AKH,2017,04,269
Amonkhet Invocations,MP2,2017,04,54
Amonkhet Promos,PAKH,2017,04,76
Amonkhet Remastered,AKR,2020,08,338
Anthologies,ATH,1998,11,85
Antiquities,ATQ,1994,03,100
Apocalypse,APC,2001,06,143
Apocalypse Promos,PAPC,2001,06,1
Arabian Nights,ARN,1993,12,78
Archenemy,ARC,2010,06,150
Archenemy Schemes,OARC,2010,06,45
Archenemy: Nicol Bolas,E01,2017,06,106
Archenemy: Nicol Bolas Schemes,OE01,2017,06,20
Arena Beginner Set,ANB,2020,08,116
Arena League 1996,PARL,1996,08,7
Arena League 1999,PAL99,1999,01,350
Arena League 2000,PAL00,2000,01,11
Arena League 2001,PAL01,2001,01,12
Arena League 2002,PAL02,2002,01,5
Arena League 2003,PAL03,2003,01,8
Arena League 2004,PAL04,2004,01,8
Arena League 2005,PAL05,2005,01,8
Arena League 2006,PAL06,2006,01,8
Arena New Player Experience,ANA,2018,07,40
Arena New Player Experience Cards,OANA,2018,07,14
Arena New Player Experience Extras,XANA,2018,07,20
Asia Pacific Land Program,PALP,1998,09,15
Assassin's Creed,ACR,2024,07,112
Astral Cards,PAST,1997,04,12
Avacyn Restored,AVR,2012,05,244
Avacyn Restored Promos,PAVR,2012,04,5
BFZ Standard Series,PSS1,2015,10,5
Battle Royale Box Set,BRB,1999,11,136
Battle for Baldur's Gate Art Series,ACLB,2022,06,0
Battle for Baldur's Gate Promos,PCLB,2022,06,108
Battle for Zendikar,BFZ,2015,10,274
Battle for Zendikar Promos,PBFZ,2015,10,89
Battle the Horde,TBTH,2014,03,15
Battlebond,BBD,2018,06,254
Battlebond Promos,PBBD,2018,06,22
Beatdown Box Set,BTD,2000,10,90
Betrayers of Kamigawa,BOK,2005,02,165
Betrayers of Kamigawa Promos,PBOK,2005,02,2
Bloomburrow,BLB,2024,08,292
Born of the Gods,BNG,2014,02,165
Born of the Gods Hero's Path,THP2,2014,02,7
