set_code,set_name,release_year,release_month,set_size
P15A,15th Anniversary Cards,2008,04,2
PHTR,2016 Heroes of the Realm,2017,09,3
G17,2017 Gift Pack,2017,10,5
PH17,2017 Heroes of the Realm,2018,08,3
PH18,2018 Heroes of the Realm,2019,08,4
PH19,2019 Heroes of the Realm,2020,08,9
PH20,2020 Heroes of the Realm,2021,08,3
PH21,2021 Heroes of the Realm,2022,08,4
PH22,2022 Heroes of the Realm,2023,08,5
P30T,30th Anniversary Celebration Tokyo,2023,09,2
30A,30th Anniversary Edition,2022,11,594
P30H,30th Anniversary History Promos,2022,09,10
P30M,30th Anniversary Misc Promos,2022,09,5
P30A,30th Anniversary Play Promos,2022,09,30
AFR,Adventures in the Forgotten Realms,2021,07,281
AAFR,Adventures in the Forgotten Realms Art Series,2021,07,0
MAFR,Adventures in the Forgotten Realms Minigames,2021,07,5
PAFR,Adventures in the Forgotten Realms Promos,2021,07,240
AER,Aether Revolt,2017,01,184
PAER,Aether Revolt Promos,2017,01,65
ARB,Alara Reborn,2009,04,145
PARB,Alara Reborn Promos,2009,04,2
HBG,Alchemy Horizons: Baldur's Gate,2022,07,456
YDMU,Alchemy: Dominaria,2022,10,39
YMID,Alchemy: Innistrad,2021,12,64
YLCI,Alchemy: Ixalan,2023,12,30
YNEO,Alchemy: Kamigawa,2022,03,30
YMKM,Alchemy: Murders at Karlov Manor,2024,03,30
YSNC,Alchemy: New Capenna,2022,06,30
YONE,Alchemy: Phyrexia,2023,02,30
YBRO,Alchemy: The Brothers' War,2022,12,31
YWOE,Alchemy: Wilds of Eldraine,2023,10,34
ALL,Alliances,1996,06,199
AKH,Amonkhet,2017,04,269
MP2,Amonkhet Invocations,2017,04,54
PAKH,Amonkhet Promos,2017,04,76
AKR,Amonkhet Remastered,2020,08,338
ATH,Anthologies,1998,11,85
ATQ,Antiquities,1994,03,100
APC,Apocalypse,2001,06,143
PAPC,Apocalypse Promos,2001,06,1
ARN,Arabian Nights,1993,12,78
ARC,Archenemy,2010,06,150
OARC,Archenemy Schemes,2010,06,45
E01,Archenemy: Nicol Bolas,2017,06,106
OE01,Archenemy: Nicol Bolas Schemes,2017,06,20
ANB,Arena Beginner Set,2020,08,116
PARL,Arena League 1996,1996,08,7
PAL99,Arena League 1999,1999,01,350
PAL00,Arena League 2000,2000,01,11
PAL01,Arena League 2001,2001,01,12
PAL02,Arena League 2002,2002,01,5
PAL03,Arena League 2003,2003,01,8
PAL04,Arena League 2004,2004,01,8
PAL05,Arena League 2005,2005,01,8
PAL06,Arena League 2006,2006,01,8
ANA,Arena New Player Experience,2018,07,40
OANA,Arena New Player Experience Cards,2018,07,14
XANA,Arena New Player Experience Extras,2018,07,20
PALP,Asia Pacific Land Program,1998,09,15
ACR,Assassin's Creed,2024,07,112
PAST,Astral Cards,1997,04,12
AVR,Avacyn Restored,2012,05,244
PAVR,Avacyn Restored Promos,2012,04,5
PSS1,BFZ Standard Series,2015,10,5
BRB,Battle Royale Box Set,1999,11,136
ACLB,Battle for Baldur's Gate Art Series,2022,06,0
PCLB,Battle for Baldur's Gate Promos,2022,06,108
BFZ,Battle for Zendikar,2015,10,274
PBFZ,Battle for Zendikar Promos,2015,10,89
TBTH,Battle the Horde,2014,03,15
BBD,Battlebond,2018,06,254
PBBD,Battlebond Promos,2018,06,22
BTD,Beatdown Box Set,2000,10,90
BOK,Betrayers of Kamigawa,2005,02,165
PBOK,Betrayers of Kamigawa Promos,2005,02,2
BLB,Bloomburrow,2024,08,292
BNG,Born of the Gods,2014,02,165
THP2,Born of the Gods Hero's Path,2014,02,7
PBNG,Born of the Gods Promos,2014,02,9
OTP,Breaking News,2024,04,0
PCEL,Celebration Cards,1996,08,8
Q01,Challenger Decks 2018,2018,04,0
Q02,Challenger Decks 2019,2019,04,0
Q03,Challenger Decks 2019 Japan,2019,11,0
Q04,Challenger Decks 2020,2020,03,0
Q05,Challenger Decks 2021,2021,03,0
Q07,Challenger Decks 2022,2022,04,0
CHK,Champions of Kamigawa,2004,10,306
PCHK,Champions of Kamigawa Promos,2004,10,1
PCMP,Champs and States,2006,03,12
CHR,Chronicles,1995,07,125
BCHR,Chronicles Foreign Black Border,1995,07,125
6ED,Classic Sixth Edition,1999,04,350
CSP,Coldsnap,2006,07,155
PCSP,Coldsnap Promos,2006,07,1
CST,Coldsnap Theme Decks,2006,07,62
CED,Collectors' Edition,1993,12,302
CMD,Commander 2011,2011,06,318
PCMD,Commander 2011 Launch Party,2011,06,5
OCMD,Commander 2011 Oversized,2011,06,15
C13,Commander 2013,2013,11,356
OC13,Commander 2013 Oversized,2013,11,15
C14,Commander 2014,2014,11,337
OC14,Commander 2014 Oversized,2014,11,5
C15,Commander 2015,2015,11,342
OC15,Commander 2015 Oversized,2015,11,5
C16,Commander 2016,2016,11,351
OC16,Commander 2016 Oversized,2016,11,5
C17,Commander 2017,2017,08,309
OC17,Commander 2017 Oversized,2017,08,4
C18,Commander 2018,2018,08,307
OC18,Commander 2018 Oversized,2018,08,4
C19,Commander 2019,2019,08,302
OC19,Commander 2019 Oversized,2019,08,4
C20,Commander 2020,2020,04,322
OC20,Commander 2020 Oversized,2020,04,5
C21,Commander 2021,2021,04,81
OC21,Commander 2021 Display Commanders,2021,04,5
CMA,Commander Anthology,2017,06,320
CM2,Commander Anthology Volume II,2018,06,312
CC2,Commander Collection: Black,2022,01,8
CC1,Commander Collection: Green,2020,12,8
CMR,Commander Legends,2020,11,361
PCMR,Commander Legends Promos,2020,11,2
CLB,Commander Legends: Battle for Baldur's Gate,2022,06,361
MCLB,Commander Legends: Battle for Baldur's Gate Minigames,2022,06,0
CMM,Commander Masters,2023,08,451
ACMM,Commander Masters Art Series,2023,08,0
CM1,Commander's Arsenal,2012,11,18
OCM1,Commander's Arsenal Oversized,2012,11,10
CON,Conflux,2009,02,145
PCON,Conflux Promos,2009,02,2
CNS,Conspiracy,2014,06,210
PCNS,Conspiracy Promos,2014,06,1
CN2,Conspiracy: Take the Crown,2016,08,221
M19,Core Set 2019,2018,07,280
PM19,Core Set 2019 Promos,2018,07,94
